order_id,date,region,product,category,units_sold,unit_price,revenue,cost,profit,customer_age,customer_gender
1001,2024-01-03,North,Laptop Pro,Electronics,2,1299.99,2599.98,1800.00,799.98,34,M
1002,2024-01-05,South,Wireless Earbuds,Electronics,5,89.99,449.95,200.00,249.95,27,F
1003,2024-01-07,East,Office Chair,Furniture,1,349.99,349.99,210.00,139.99,45,M
1004,2024-01-09,West,Standing Desk,Furniture,2,599.99,1199.98,720.00,479.98,38,F
1005,2024-01-11,North,Mechanical Keyboard,Electronics,3,129.99,389.97,180.00,209.97,29,M
1006,2024-01-13,South,Monitor 27",Electronics,1,449.99,449.99,280.00,169.99,52,F
1007,2024-01-15,East,Laptop Pro,Electronics,1,1299.99,1299.99,900.00,399.99,31,M
1008,2024-01-17,West,Webcam HD,Electronics,4,79.99,319.96,140.00,179.96,24,F
1009,2024-01-19,North,Office Chair,Furniture,3,349.99,1049.97,630.00,419.97,41,M
1010,2024-01-21,South,Laptop Pro,Electronics,1,1299.99,1299.99,900.00,399.99,36,F
1011,2024-01-23,East,Wireless Mouse,Electronics,6,49.99,299.94,120.00,179.94,28,M
1012,2024-01-25,West,Standing Desk,Furniture,1,599.99,599.99,360.00,239.99,47,F
1013,2024-02-01,North,Monitor 27",Electronics,2,449.99,899.98,560.00,339.98,33,M
1014,2024-02-03,South,Mechanical Keyboard,Electronics,4,129.99,519.96,240.00,279.96,25,F
1015,2024-02-05,East,Laptop Pro,Electronics,3,1299.99,3899.97,2700.00,1199.97,39,M
1016,2024-02-07,West,Office Chair,Furniture,2,349.99,699.98,420.00,279.98,44,F
1017,2024-02-09,North,Wireless Earbuds,Electronics,8,89.99,719.92,320.00,399.92,22,M
1018,2024-02-11,South,Webcam HD,Electronics,3,79.99,239.97,105.00,134.97,30,F
1019,2024-02-13,East,Standing Desk,Furniture,1,599.99,599.99,360.00,239.99,55,M
1020,2024-02-15,West,Laptop Pro,Electronics,2,1299.99,2599.98,1800.00,799.98,37,F
1021,2024-02-17,North,Wireless Mouse,Electronics,10,49.99,499.90,200.00,299.90,26,M
1022,2024-02-19,South,Monitor 27",Electronics,3,449.99,1349.97,840.00,509.97,43,F
1023,2024-02-21,East,Office Chair,Furniture,4,349.99,1399.96,840.00,559.96,35,M
1024,2024-02-23,West,Mechanical Keyboard,Electronics,5,129.99,649.95,300.00,349.95,29,F
1025,2024-03-01,North,Laptop Pro,Electronics,4,1299.99,5199.96,3600.00,1599.96,48,M
1026,2024-03-03,South,Standing Desk,Furniture,3,599.99,1799.97,1080.00,719.97,32,F
1027,2024-03-05,East,Wireless Earbuds,Electronics,7,89.99,629.93,280.00,349.93,24,M
1028,2024-03-07,West,Monitor 27",Electronics,2,449.99,899.98,560.00,339.98,40,F
1029,2024-03-09,North,Webcam HD,Electronics,5,79.99,399.95,175.00,224.95,27,M
1030,2024-03-11,South,Office Chair,Furniture,2,349.99,699.98,420.00,279.98,51,F
1031,2024-03-13,East,Wireless Mouse,Electronics,12,49.99,599.88,240.00,359.88,23,M
1032,2024-03-15,West,Laptop Pro,Electronics,1,1299.99,1299.99,900.00,399.99,36,F
1033,2024-03-17,North,Mechanical Keyboard,Electronics,6,129.99,779.94,360.00,419.94,31,M
1034,2024-03-19,South,Standing Desk,Furniture,2,599.99,1199.98,720.00,479.98,42,F
1035,2024-03-21,East,Monitor 27",Electronics,4,449.99,1799.96,1120.00,679.96,38,M
1036,2024-04-01,West,Wireless Earbuds,Electronics,9,89.99,809.91,360.00,449.91,26,F
1037,2024-04-03,North,Office Chair,Furniture,5,349.99,1749.95,1050.00,699.95,45,M
1038,2024-04-05,South,Laptop Pro,Electronics,2,1299.99,2599.98,1800.00,799.98,33,F
1039,2024-04-07,East,Webcam HD,Electronics,6,79.99,479.94,210.00,269.94,28,M
1040,2024-04-09,West,Wireless Mouse,Electronics,15,49.99,749.85,300.00,449.85,22,F
1041,2024-04-11,North,Standing Desk,Furniture,4,599.99,2399.96,1440.00,959.96,50,M
1042,2024-04-13,South,Mechanical Keyboard,Electronics,7,129.99,909.93,420.00,489.93,35,F
1043,2024-04-15,East,Laptop Pro,Electronics,3,1299.99,3899.97,2700.00,1199.97,41,M
1044,2024-04-17,West,Monitor 27",Electronics,5,449.99,2249.95,1400.00,849.95,29,F
1045,2024-04-19,North,Wireless Earbuds,Electronics,11,89.99,989.89,440.00,549.89,25,M
1046,2024-05-01,South,Office Chair,Furniture,3,349.99,1049.97,630.00,419.97,46,F
1047,2024-05-03,East,Standing Desk,Furniture,2,599.99,1199.98,720.00,479.98,37,M
1048,2024-05-05,West,Laptop Pro,Electronics,5,1299.99,6499.95,4500.00,1999.95,32,F
1049,2024-05-07,North,Webcam HD,Electronics,8,79.99,639.92,280.00,359.92,27,M
1050,2024-05-09,South,Wireless Mouse,Electronics,20,49.99,999.80,400.00,599.80,24,F
